,distance,LiH_E,left_side_E
0,0.1,2.764504872444965,-72.25544440731333
1,0.3,-5.877241747508933,-80.89719102726723
2,0.5,-7.047909593720682,-82.06785887347897
3,0.7,-7.503999680631518,-82.52394896038982
4,0.9,-7.722834554872036,-82.74278383463033
5,1.1,-7.825202724007655,-82.84515200376595
6,1.3,-7.868904032819081,-82.88885331257737
7,1.5,-7.882139855764646,-82.90208913552294
8,1.7,-7.879197780719734,-82.89914706047803
9,1.9,-7.867988699049308,-82.8879379788076
10,2.1,-7.853196221813301,-82.8731455015716
11,2.3,-7.8377240111245,-82.85767329088279
12,2.5,-7.823426837670701,-82.84337611742899
13,2.7,-7.811420438119239,-82.83136971787754
14,2.9,-7.802146563617429,-82.82209584337572
15,3.1,-7.7954535533066505,-82.81540283306495
16,3.3,-7.790845312819335,-82.81079459257762
17,3.5,-7.787761114714702,-82.80771039447299
18,3.7,-7.785729710956933,-82.80567899071522
19,3.9,-7.7844056218481645,-82.80435490160646
20,4.1,-7.783549582199447,-82.80349886195773
21,4.3,-7.783001632666361,-82.80295091242465
22,4.5,-7.782653317024239,-82.80260259678253
23,4.7,-7.782434334801341,-82.80238361455963
24,4.9,-7.782305912265452,-82.80225519202375
25,5.2,-7.591706392937157,-82.61165567269545
26,5.4,-7.782147023322957,-82.80209630308126
27,5.6,-7.782123816829844,-82.80207309658813
28,5.8,-7.570758982812696,-82.59070826257098
29,6.0,-7.621766538072123,-82.64171581783042
30,6.2,-7.55856688731593,-82.57851616707423
31,6.4,-7.570914745251602,-82.59086402500989
32,6.6,-7.571681386907263,-82.59163066666555
33,6.8,-7.573633220060715,-82.59358249981901
34,7.0,-7.5488937387456385,-82.56884301850393
35,7.2,-7.569663738451015,-82.5896130182093
36,7.4,-7.560359563172707,-82.580308842931
37,7.6,-7.554603337800005,-82.5745526175583
38,7.8,-7.5717255451395715,-82.59167482489786
39,8.0,-7.354065397045218,-82.37401467680351
40,8.2,-7.562072043327405,-82.5820213230857
41,8.4,-7.356785793860318,-82.37673507361862
42,8.6,-7.52316648602967,-82.54311576578796
43,8.8,-7.572863987163327,-82.59281326692162
44,9.0,-7.352732337251937,-82.37268161701023
45,9.2,-7.350867243525607,-82.3708165232839
46,9.4,-7.350197549827126,-82.37014682958542
47,9.6,-7.349049074512151,-82.36899835427045
48,9.8,-7.30778374620018,-82.32773302595848
49,10.0,-7.306685007499073,-82.32663428725736
